Name,Address,Contact,Price
Barber Of Hell's Bottom,"['818 Rhode Island Ave NW', 'Washington, D.C. 20001', 'United States']",{},$$$
Enterprise Bleu,"['1015 31st St NW', 'Washington, D.C.', 'United States']",{},$$$$
BluePrint Barbershop,"['2160 Green Springs Hwy S', 'Birmingham, AL 35205', 'United States']",{},$$
City Barber Shop,"['4110 Hwy 14', 'Mill rook, AL', 'United States']",{},$$
Todd's Subs,"['5975 Sunset Dr #109', 'South Miami, FL 33143', 'United States']",{},$
Trinity Salon & Spa,"['15215 Collier Blvd Ste 317 (Immokalee Rd)', 'Naples, FL 34119', 'United States']",{},$$
Ralphs Barber,"['SR 52', 'San Antonio, FL 33576', 'United States']",{},$$
Liza's Kitchen,"['7328 Thomas Dr Ste L', 'Panama City Beach, FL 32408', 'United States']",{},$
Hopkins Eatery,"['1700 N Monroe St (Tharpe)', 'Tallahassee, FL 32303', 'United States']",{},$$
Q's Traditional Cuts,"['800 N Main St Ste 110 (Windward Parkway)', 'Alpharetta, GA 30009', 'United States']",{},$$
Fox's Pizza Den,"['2971 Monroe Hwy', 'Bogart, GA 30622', 'United States']",{},$$
Zaharakos,"['329 Washington St (3rd Street)', 'Columbus, IN 47201', 'United States']",{},$$
Snipp It Salon,"['1015 3rd St Ste A (California)', 'Columbus, IN 47201', 'United States']",{},$$$
Cafe Bloom,"['1112 Main St', 'Barboursville, WV 25504', 'United States']",{},$
Rita's Barbershop & Pub,"['Latonia, KY 41015', 'United States']",{},$
Italianette Pizza,"['6918 Plainfield Rd (Montgomery Rd.)', 'Silverton, OH 45236', 'United States']",{},$$
The Original Italian Pie,"['5650 Jefferson Hwy', 'New Orleans, LA 70123', 'United States']",{},$
South Street Cafe,"['300 E Lombard St', 'Baltimore, MD 21202', 'United States']",{},$
Toss Across,"['431 S Jefferson Ave (Jefferson & Pershing)', 'Springfield, MO 65806', 'United States']",{},$
Fuel Pizza Cafe,"['1501 Central Ave (Pecan Ave)', 'Charlotte, NC 28205', 'United States']",{},$
Simply Southern Salon,"['2206 N Cannon Blvd (East 22nd street)', 'Kannapolis, NC 28083', 'United States']",{},$$
Alexander Paul Institute of Hair Design,"['1011 Charles Blvd Ste A (10th St.)', 'Greenville, NC 27858', 'United States']",{},$
LifeCafe,"['815 Town And Country Ln (inside Life Time Athletic)', 'Houston, TX 77024', 'United States']",{},$
Elegance Hair Salon - Arabic Barber Shop - حلاق عربي هيوستن تكساس,"['3212 Hillcroft St (Skyline Dr)', 'Houston, TX 77057', 'United States']",{},$$
GoodFellas BARbershop,"['6011 W Main St', 'League City, TX 77573', 'United States']",{},$$
Raw Hair Studio,"['3126 N Saint Marys St', 'San Antonio, TX 78212', 'United States']",{},$$$
Helen's Roast Beef,"['321A Boston Ave', 'Medford, MA 02155', 'United States']",{},$$
Hair Creations,"['321 Halstead Ave', 'Harrison, NY 10528', 'United States']",{},$$$
Selah lounge,"['182 E Post Rd', 'White Plains, NY 10601', 'United States']",{},$$$
Savaya Salon - Barbershop,"['24265 Middlebelt Road (Ten Mile RD)', 'Farmington Hills, MI 48336', 'United States']",{},$
Lucky Detroit,"['Detroit, MI 48216', 'United States']",{},$
Jet's Pizza,"['20643 Mack Ave (btw Vernier & Van Antwerp St)', 'Grosse Pointe Woods, MI 48236', 'United States']",{},$
StoneChole Cafe and Studio,"['10201 Whittier St', 'Detroit, MI 48224', 'United States']",{},$
A&S Fine Foods,"['447 Albany Post Rd', 'Croton-on-Hudson, NY', 'United States']",{},$$
